"Site number"	"Site name"	"Transect number"	"Transect point number"	"Measurement taken in thalweg"	"Depth (m)"	"Bed substrate"	"Embeddedness (percent)"	"Silt present"	"Woody debris present"	"Overhanging vegetation present"	"Undercut banks"	"Boulders"	"Aquatic macrophytes"	"Manmade structure"	"Too turbid to determine if cover features exist"	"No habitat features"	"Habitat features not classified"
05527960	"Mill Creek at Wadsworth, IL"	1	4	FALSE	0.54	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	1	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	2	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	2	2	FALSE	0.8	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	2	3	TRUE	1	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	2	4	FALSE	0.86	2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	2	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	3	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	3	2	FALSE	0.83	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	3	3	TRUE	0.98	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	3	4	FALSE	0.78	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	3	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	4	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	4	2	FALSE	0.37	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	4	3	TRUE	0.61	2	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	4	4	FALSE	1.3	2	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	4	5	FALSE	0	-	-	No Observation	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	5	1	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	5	2	FALSE	0.52	2	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	5	3	FALSE	0.8	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	5	4	TRUE	0.86	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	5	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	6	1	FALSE	0	-	-	No Observation	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	6	2	TRUE	0.96	2	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	6	3	FALSE	0.91	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	6	4	FALSE	0.71	3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	6	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527960	"Mill Creek at Wadsworth, IL"	7	1	FALSE	0	-	-	No Observation	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
